"Code","Name","Count"
"М1","Беларусь","17"
"М2","Крым","0"
"М3","Украина","0"
"М4","Дон","0"
"М5","Урал","0"
"М7","Волга","0"
"М8","Холмогоры","0"
"М9","Балтия","0"
"М10","Россия","0"
"М11","Нева","0"
"М12","Восток","0"
"Р21","Кола","0"
"Р22","Каспий","0"
"Р23","Санкт-Петербург – Псков – Беларусь","0"
"Р56","Великий Новгород – Псков","0"
"Р92","Калуга – Орёл","0"
"Р119","Орёл – Тамбов","0"
"Р120","Орёл – Брянск – Смоленск – Беларусь","8"
"Р132","Золотое кольцо",
"Р158","Нижний Новгород – Саратов","0"
"Р176","Вятка","0"
"Р177","Поветлужье","0"
"Р178","Саранск – Ульяновск","0"
"Р193","Воронеж – Тамбов","0"
"Р207","Пенза – Балашов – Михайловка","0"
"Р208","Тамбов – Пенза","0"
"Р215","Астрахань – Махачкала","0"
"Р216","Астрахань – Ставрополь","0"
"Р217","Кавказ","0"
"Р228","Сызрань – Саратов – Волгоград","0"
"Р229","Самара – Волгоград","0"
"Р239","Казань – Оренбург","0"
"Р240","Уфа – Оренбург","0"
"Р241","Казань – Ульяновск","0"
"Р242","Пермь – Екатеринбург","0"
"Р243","Кострома – Киров – Пермь","0"
"Р254","Иртыш","0"
"Р255","Сибирь","0"
"Р256","Чуйский тракт","0"
"Р257","Енисей","0"
"Р258","Байкал","0"
"Р260","Волгоград – Каменск-Шахтинский – Луганск","0"
"Р297","Амур","0"
"Р298","Курск – Воронеж","0"
"Р351","Екатеринбург – Тюмень","0"
"Р402","Тюмень – Омск","0"
"Р404","Тюмень – Ханты-Мансийск","0"
"Р504","Колыма","0"
"Р600","Иваново – Кострома","0"
"А104","Москва – Дмитров – Дубна","0"
"А105","Подъезд к аэропорту Домодедово","0"
"А107","Московское малое кольцо","0"
"А108","Московское большое кольцо","0"
"А113","ЦКАД","0"
"А114","Вологда – Новая Ладога","0"
"А118","КАД Санкт-Петербурга","0"
"А119","Вологда – Медвежьегорск","0"
"А120","Санкт-Петербургское южное полукольцо","0"
"А121","Сортавала","0"
"А130","Москва – Рославль – Беларусь",
"А134","Подъезд к Воронежу","0"
"А135","Подъезд к Ростову-на-Дону","0"
"А146","Краснодар – Верхнебаканский","0"
"А147","Джубга – Сочи","0"
"А149","Адлер – Красная Поляна","0"
"А151","Цивильск – Ульяновск","0"
"А153","Нытва – Кудымкар","0"
"А155","Черкесск – Домбай","0"
"А157","Минеральные Воды – Кисловодск","0"
"А158","Прохладный – Эльбрус","0"
"А159","Майкоп – Гузерипль","0"
"А160","Майкоп – Кореновск","0"
"А164","Транскам","0"
"А165","Лермонтов – Черкесск","0"
"А167","Кочубей – Минеральные Воды","0"
"А181","Скандинавия","0"
"А215","Лодейное Поле – Брин-Наволок","0"
"А240","Брянск – Беларусь","0"
"А289","Краснодар – Крымский мост","0"
"А290","Новороссийск – Керчь","0"
"А291","Таврида","0"
"А331","Вилюй","0"
"А333","Култук – Монды","0"
"А340","Улан-Удэ – Кяхта","0"
"А350","Чита – Забайкальск","0"
"А360","Лена","0"
"А370","Уссури","0"
"А375","Восток","0"
"А376","Хабаровск – Лидога – Ванино","0"
