"Code","Name"
"М1","Беларусь"
"М2","Крым"
"М3","Украина"
"М4","Дон"
"М5","Урал"
"М7","Волга"
"М8","Холмогоры"
"М9","Балтия"
"М10","Россия"
"М11","Нева"
"М12","Восток"
"Р21","Кола"
"Р22","Каспий"
"Р23","Санкт-Петербург – Псков – Беларусь"
"Р56","Великий Новгород – Псков"
"Р92","Калуга – Орёл"
"Р119","Орёл – Тамбов"
"Р120","Орёл – Брянск – Смоленск – Беларусь"
"P132","Золотое кольцо"
"Р158","Нижний Новгород – Саратов"
"Р176","Вятка"
"Р177","Поветлужье"
"Р178","Саранск – Ульяновск"
"Р193","Воронеж – Тамбов"
"Р207","Пенза – Балашов – Михайловка"
"Р208","Тамбов – Пенза"
"Р215","Астрахань – Махачкала"
"Р216","Астрахань – Ставрополь"
"Р217","Кавказ"
"Р228","Сызрань – Саратов – Волгоград"
"Р229","Самара – Волгоград"
"Р239","Казань – Оренбург"
"Р240","Уфа – Оренбург"
"Р241","Казань – Ульяновск"
"Р242","Пермь – Екатеринбург"
"Р243","Кострома – Киров – Пермь"
"Р254","Иртыш"
"Р255","Сибирь"
"Р256","Чуйский тракт"
"Р257","Енисей"
"Р258","Байкал"
"Р260","Волгоград – Каменск-Шахтинский – Луганск"
"Р297","Амур"
"Р298","Курск – Воронеж"
"Р351","Екатеринбург – Тюмень"
"Р402","Тюмень – Омск"
"Р404","Тюмень – Ханты-Мансийск"
"Р504","Колыма"
"Р600","Иваново – Кострома"
"А104","Москва – Дмитров – Дубна"
"А105","Подъезд к аэропорту Домодедово"
"А107","Московское малое кольцо"
"А108","Московское большое кольцо"
"А113","ЦКАД"
"А114","Вологда – Новая Ладога"
"А118","КАД Санкт-Петербурга"
"А119","Вологда – Медвежьегорск"
"А120","Санкт-Петербургское южное полукольцо"
"А121","Сортавала"
"A130","Москва – Рославль – Беларусь"
"А134","Подъезд к Воронежу"
"А135","Подъезд к Ростову-на-Дону"
"А146","Краснодар – Верхнебаканский"
"А147","Джубга – Сочи"
"А149","Адлер – Красная Поляна"
"А151","Цивильск – Ульяновск"
"А153","Нытва – Кудымкар"
"А155","Черкесск – Домбай"
"А157","Минеральные Воды – Кисловодск"
"А158","Прохладный – Эльбрус"
"А159","Майкоп – Гузерипль"
"А160","Майкоп – Кореновск"
"А164","Транскам"
"А165","Лермонтов – Черкесск"
"А167","Кочубей – Минеральные Воды"
"А181","Скандинавия"
"А215","Лодейное Поле – Брин-Наволок"
"А240","Брянск – Беларусь"
"А289","Краснодар – Крымский мост"
"А290","Новороссийск – Керчь"
"А291","Таврида"
"А331","Вилюй"
"А333","Култук – Монды"
"А340","Улан-Удэ – Кяхта"
"А350","Чита – Забайкальск"
"А360","Лена"
"А370","Уссури"
"А375","Восток"
"А376","Хабаровск – Лидога – Ванино"
"A132","Подъезд к Смоленску от М1"
"P130","Демидов – Рудня"
"P133","Ольша – Невель"
"P134","Смоленск – Зубцов"
"P136","Витязи – Нелидово"
"P137","Сафоново – Рославль"
"P96","Новоалександровский – Починок"
